id,year
12299,1932.0
12300,1983.0
12301,1962.0
12303,1970.0
12305,1906.0
12306,1809.0
12307,2002.0
12308,1911.0
12309,1844.0
12316,1967.0
12321,1906.0
12325,1914.0
12326,1998.0
12332,1843.0
12335,1866.0
12336,1999.0
12342,1986.0
12343,1926.0
12344,1931.0
53810,2010.0
12353,1869.0
12355,1829.0
12357,1946.0
12363,1906.0
12364,1946.0
12368,1938.0
12369,1961.0
12370,1811.0
12373,1906.0
12377,1949.0
12379,1998.0
12381,1920.0
12382,1860.0
12383,1977.0
12384,1914.0
12385,1932.0
12390,1886.0
12392,1879.0
12394,1878.0
12395,1924.0
12396,1985.0
12408,1871.0
12433,1955.0
12434,1803.0
32531,2003.0
12435,1910.0
12451,1887.0
12455,1872.0
12456,1897.0
12461,1947.0
12464,1986.0
12465,1925.0
12466,1987.0
12740,1830.0
12743,1938.0
12748,1845.0
12749,1845.0
12755,1943.0
12756,1912.0
12759,1999.0
12760,1907.0
12765,1900.0
12769,1857.0
12772,1896.0
14646,1973.0
14650,1930.0
14652,1813.0
14655,1854.0
14659,1978.0
14661,1808.0
14664,1839.0
14670,1820.0
14675,1868.0
14678,1994.0
52843,2010.0
14708,1894.0
14711,1970.0
14716,1977.0
14718,1935.0
14721,1926.0
14724,1768.0
14753,1869.0
14754,1980.0
14755,1889.0
14756,1813.0
14757,1753.0
14759,1951.0
14764,1937.0
15370,1836.0
15371,1981.0
15372,1936.0
15379,1950.0
15380,1935.0
15382,1896.0
15383,1941.0
15386,1899.0
15387,1990.0
47361,2007.0
30751,2004.0
15393,1933.0
15394,1970.0
15395,1930.0
15397,1931.0
15400,1933.0
15401,1927.0
15402,1863.0
15403,1843.0
15405,1934.0
15409,1951.0
15414,1948.0
15418,1925.0
15419,1898.0
48973,2009.0
15421,1941.0
15422,1971.0
15424,1847.0
15426,1902.0
15429,1848.0
15430,2002.0
15436,1983.0
15438,1836.0
53653,2010.0
15443,1803.0
15446,1768.0
15447,1801.0
15451,1974.0
15453,1885.0
15454,1942.0
15455,1992.0
15467,1953.0
15469,1861.0
15470,1915.0
15485,1862.0
15486,1903.0
15489,1878.0
15491,1945.0
15492,1920.0
15495,1955.0
16626,1897.0
16627,1949.0
16628,1852.0
16629,1827.0
16631,1980.0
