id,mass,GeoLocation
7731,47700.0,"(42.52, -82.26)"
7736,1900.0,"(42.45833, 18.44167)"
7743,30.0,"(-31.66667, 152.83333)"
7745,2270.0,"(52.55, -8.03333)"
7749,,"(43.33333, 128.25)"
7750,13200.0,"(30.3, 76.63333)"
7752,577.0,"(-4.0, 39.5)"
7754,2117.0,"(33.43333, 127.26667)"
7755,3230.0,"(-27.2, 31.31667)"
7757,300.0,"(26.25, 82.0)"
7758,188.0,"(-3.0, 151.0)"
7760,10000.0,"(40.78167, -96.47167)"
7774,2400.0,"(-17.3, 15.83333)"
7775,3000.0,"(48.9, 11.21667)"
7776,3336.0,"(56.03333, 13.0)"
7777,840.0,"(28.26667, 78.78333)"
7807,10000.0,"(34.41667, 3.25)"
45977,17226.0,"(25.37, -97.37)"
7819,5000.0,"(19.96722, -103.05167)"
7822,680.5,"(39.24667, -104.58817)"
7823,107000.0,"(50.18333, 12.73333)"
7824,54640.0,"(47.83333, 37.66667)"
10019,1470.0,"(51.75, 4.0)"
10033,127.0,"(-29.46667, 151.61667)"
10038,8000.0,"(30.3, 109.5)"
10039,127000.0,"(47.86667, 7.35)"
10041,277.0,"(48.18333, 6.46667)"
10042,113.0,"(19.03333, 81.89167)"
10043,107.2,"(40.3, 44.5)"
10044,20000.0,"(1.16667, 44.16667)"
10049,2250.0,"(52.21667, 11.25)"
10051,1500.0,"(46.25, -1.1)"
10055,500.0,"(2.88333, 30.83333)"
10059,320000.0,"(43.41667, -94.83333)"
10074,89400.0,"(39.75, -97.03333)"
10075,56000.0,"(35.55, -77.53333)"
10078,1500.0,"(44.38333, 2.81667)"
10079,2360.0,"(36.05, -94.16667)"
10080,380.0,"(36.88333, 8.45)"
10081,3200.0,"(32.53333, -87.16667)"
10086,82.0,"(34.6, 116.75)"
10088,220.0,"(36.1, -81.41667)"
10091,10200.0,"(43.18111, 13.75333)"
10107,17600.0,"(47.81667, -96.85)"
10111,3640.0,"(30.83333, -97.76667)"
10119,152000.0,"(43.25, -93.66667)"
10120,26000.0,"(-33.35, 146.85833)"
10123,6067.0,"(36.78333, -78.08333)"
10163,240.0,"(50.95, 7.31667)"
10164,16300.0,"(33.01667, -83.96667)"
10166,,"(28.25, 7.0)"
10177,650.0,"(34.48333, -87.83333)"
52412,23000.0,"(31.47556, 113.56694)"
10836,11620.0,"(33.18333, 130.2)"
10838,,"(55.33333, 10.33333)"
10839,4000.0,"(25.95, 80.81667)"
10840,2500.0,"(32.9, 115.9)"
10846,132.7,"(44.3, 0.4)"
10848,36.1,"(7.05, 12.43333)"
10849,28.0,"(7.05, 12.43333)"
10850,5000.0,"(51.68333, 30.78333)"
10851,6400.0,"(27.35, 68.53333)"
10854,,"(11.65, -2.18333)"
10860,380.0,"(27.88333, 68.53333)"
10861,102.0,"(41.68333, -112.13333)"
44882,4162.0,"(12.85, 11.03333)"
10866,,"(14.15083, -2.04167)"
10870,725.0,"(12.91667, 11.91667)"
10914,14290.0,"(35.53333, 136.88333)"
10917,18000.0,"(37.31667, 13.56667)"
10919,480.0,"(9.6, 9.91667)"
10923,670.0,"(52.2, 6.86667)"
10924,1303.0,"(-7.25, 107.7)"
10926,152000.0,"(57.35, 37.61667)"
10930,767.0,"(52.45972, -0.3)"
10936,1750.0,"(50.66667, 16.76667)"
10948,1600.0,"(24.23333, 89.05)"
10949,3618.0,"(48.28333, 38.08333)"
10956,9000.0,"(42.9, 2.25)"
11196,45.5,"(60.66667, 11.0)"
50911,215.0,"(43.2, -79.61667)"
11206,3500.0,"(43.66667, 45.38333)"
11207,10500.0,"(49.26667, 18.71667)"
11208,8000.0,"(46.35, 30.58333)"
11426,1000.0,"(51.93333, 15.5)"
11429,690.0,"(52.86667, 16.63333)"
11432,22000.0,"(-33.0, -58.61667)"
11435,2910.0,"(39.80417, 122.76389)"
11436,,"(24.1, 105.0)"
11437,1900.0,"(37.1, 118.4)"
11439,39000.0,"(38.73333, -6.01667)"
11440,1915.0,"(43.76667, 20.23333)"
11442,288.0,"(13.5, -0.68333)"
11443,968.0,"(9.91667, 13.98333)"
11448,2449.0,"(22.98333, 76.05)"
11449,100000.0,"(11.49167, 11.65833)"
11450,5700.0,"(42.9, 24.7)"
11464,28.0,"(13.78333, 78.56667)"
11465,34650.0,"(9.36667, 42.41667)"
11466,1000.0,"(51.91667, 8.38333)"
11467,1320.0,"(35.0, 127.5)"
11468,0.2,"(35.65, 139.33333)"
11472,9000.0,"(50.31667, 3.73333)"
11479,1456.0,"(57.81667, 16.23333)"
11485,3710.0,"(41.38333, -86.6)"
11824,1000.0,"(26.8, 82.53333)"
11829,315.0,"(28.38333, 75.78333)"
11830,8360.0,"(32.675, -94.51167)"
11842,680.0,"(38.25, -86.16667)"
11848,1110.6,"(35.2945, 136.70033)"
11852,1250.0,"(28.95, 0.81667)"
11855,29000.0,"(51.65, -1.51667)"
11859,1544.0,"(60.24556, 22.06194)"
